Rssi,Riding
-55,1
-69,1
-66,1
-70,1
-70,1
-59,1
-68,1
-57,1
-70,1
-66,1
-69,1
-69,1
-67,1
-67,1
-55,1
-70,1
-69,1
-71,1
-66,1
-69,1
-63,1
-54,1
-69,1
-65,1
-59,1
-58,1
-68,1
-65,1
-68,1
-54,1
-66,1
-68,1
-68,1
-69,1
-71,1
-56,1
-54,1
-66,1
-55,1
-68,1
-57,1
-75,1
-68,1
-76,1
-61,1
-71,1
-67,1
-68,1
-71,1
-68,1
-66,1
-70,1
-72,1
-67,1
-66,1
-55,1
-72,1
-68,1
-66,1
-70,1
-67,1
-72,1
-66,1
-73,1
-61,1
-69,1
-74,1
-66,1
-72,1
-55,1
-72,1
-60,1
-55,1
-68,1
-72,1
-56,1
-54,1
-62,1
-55,1
-75,1
-68,1
-55,1
-66,1
-54,1
-66,1
-67,1
-70,1
-74,1
-66,1
-56,1
-72,1
-70,1
-62,1
-71,1
-53,1
-55,1
-67,1
-55,1
-54,1
-67,1
-56,1
-68,1
-53,1
-59,1
-60,1
-69,1
-68,1
-69,1
-59,1
-70,1
-60,1
-69,1
-69,1
-59,1
-60,1
-67,1
-65,1
-66,1
-69,1
-61,1
-66,1
-70,1
-69,1
-61,1
-65,1
-65,1
-64,1
-55,1
-69,1
-54,1
-56,1
-62,1
-68,1
-67,1
-54,1
-66,1
-69,1
-66,1
-64,1
-67,1
-63,1
-63,1
-57,1
-70,1
-53,1
-79,1
-69,1
-73,1
-65,1
-72,1
-71,1
-60,1
-67,1
-67,1
-56,1
-68,1
-61,1
-68,1
-69,1
-58,1
-58,1
-67,1
-66,1
-73,1
-70,1
-71,1
-66,1
-69,1
-69,1
-52,1
-77,1
-58,1
-66,1
-62,1
-60,1
-69,1
-52,1
-52,1
-72,1
-72,1
-67,1
-74,1
-57,1
-58,1
-75,1
-67,1
-59,1
-60,1
-69,1
-77,1
-52,1
-59,1
-69,1
-83,1
-53,1
-66,1
-68,1
-54,1
-68,1
-60,1
-66,1
-58,1
-66,1
-66,1
-59,1
-56,1
-67,1
-64,1
-56,1
-63,1
-57,1
-69,1
-62,1
-72,1
-66,1
-66,1
-62,1
-68,1
-50,1
-68,1
-66,1
-57,1
-53,1
-73,1
-69,1
-64,1
-53,1
-71,1
-67,1
-59,1
-59,1
-76,1
-68,1
-67,1
-51,1
-59,1
-58,1
-71,1
-65,1
-59,1
-65,1
-59,1
-53,1
-66,1
-69,1
-67,1
-58,1
-60,1
-66,1
-58,1
-59,1
-73,1
-58,1
-64,1
-60,1
-66,1
-67,1
-68,1
-67,1
-65,1
-74,1
-68,1
-64,1
-65,1
-70,1
-57,1
-76,1
-68,1
-60,1
-67,1
-72,1
-65,1
-53,1
-69,1
-65,1
-63,1
-66,1
-52,1
-71,1
-64,1
-69,1
-75,1
-56,1
-65,1
-59,1
-64,1
-64,1
-52,1
-68,1
-67,1
-60,1
-64,1
-73,1
-58,1
-64,1
-57,1
-60,1
-74,1
-57,1
-71,1
-56,1
-70,1
-68,1
-54,1
-74,1
-68,1
-66,1
-68,1
-55,1
-66,1
-71,1
-65,1
-69,1
-69,1
-70,1
-82,1
-59,1
-70,1
-66,1
-72,1
-68,1
-67,1
-70,1
-68,1
-66,1
-70,1
-56,1
-61,1
-53,1
-61,1
-68,1
-66,1
-69,1
-65,1
-61,1
-65,1
-66,1
-66,1
-55,1
-66,1
-64,1
-54,1
-65,1
-61,1
-67,1
-65,1
-54,1
-60,1
-68,1
-67,1
-65,1
-66,1
-53,1
-53,1
-53,1
-64,1
-62,1
-52,1
-53,1
-64,1
-59,1
-53,1
-67,1
-53,1
-63,1
-67,1
-58,1
-64,1
-58,1
-53,1
-66,1
-61,1
-69,1
-54,1
-67,1
-66,1
-68,1
